0; 0; 1; 6
1; 1; 2; 0
2; 1; 14; 1
3; 1; 22; 2
4; 1; 36; 3
5; 1; 44; 6
6; 1; 77; 0
7; 2; 3; 2
8; 3; 4; 0
9; 3; 12; 1
10; 3; 20; 2
11; 3; 24; 2
12; 3; 30; 6
13; 3; 34; 6
14; 3; 38; 3
15; 3; 42; 3
16; 3; 46; 6
17; 3; 50; 6
18; 3; 62; 6
19; 3; 66; 6
20; 3; 79; 0
21; 4; 5; 2
22; 5; 6; 0
23; 5; 10; 1
24; 5; 18; 2
25; 5; 26; 2
26; 5; 54; 6
27; 5; 58; 6
28; 5; 60; 6
29; 5; 73; 0
30; 6; 7; 3.5
31; 7; 8; 1
32; 7; 71; 0
33; 8; 9; 3.5
34; 9; 10; 0
35; 9; 6; 1
36; 9; 18; 2
37; 9; 26; 2
38; 9; 54; 6
39; 9; 58; 6
40; 9; 60; 6
41; 9; 73; 0
42; 10; 11; 2
43; 11; 12; 0
44; 11; 4; 1
45; 11; 20; 2
46; 11; 24; 2
47; 11; 30; 6
48; 11; 34; 6
49; 11; 38; 3
50; 11; 42; 3
51; 11; 46; 6
52; 11; 50; 6
53; 11; 62; 6
54; 11; 66; 6
55; 11; 79; 0
56; 12; 13; 2
57; 13; 14; 0
58; 13; 2; 1
59; 13; 22; 2
60; 13; 36; 3
61; 13; 44; 6
62; 13; 77; 0
63; 14; 15; 6
64; 15; 0; 1
65; 15; 56; 6
66; 15; 75; 0
67; 16; 17; 6
68; 17; 18; 0
69; 17; 6; 2
70; 17; 10; 2
71; 17; 26; 3
72; 17; 54; 10
73; 17; 58; 10
74; 17; 60; 10
75; 17; 73; 0
76; 18; 19; 2
77; 18; 10; 0
78; 19; 20; 0
79; 19; 4; 2
80; 19; 12; 2
81; 19; 24; 3
82; 19; 30; 10
83; 19; 34; 10
84; 19; 38; 5
85; 19; 42; 5
86; 19; 46; 10
87; 19; 50; 10
88; 19; 62; 10
89; 19; 66; 10
90; 19; 79; 0
91; 20; 21; 2
92; 20; 12; 0
93; 21; 2; 2
94; 21; 14; 2
95; 21; 22; 3
96; 21; 36; 5
97; 21; 44; 10
98; 21; 77; 0
99; 22; 23; 2
100; 22; 2; 0
101; 23; 24; 0
102; 23; 4; 2
103; 23; 12; 2
104; 23; 20; 3
105; 23; 30; 10
106; 23; 34; 10
107; 23; 38; 5
108; 23; 42; 5
109; 23; 46; 10
110; 23; 50; 10
111; 23; 62; 10
112; 23; 66; 10
113; 23; 79; 0
114; 24; 25; 2
115; 24; 4; 0
116; 25; 26; 0
117; 25; 6; 2
118; 25; 10; 2
119; 25; 18; 3
120; 25; 54; 10
121; 25; 58; 10
122; 25; 60; 10
123; 25; 73; 0
124; 26; 27; 6
125; 27; 16; 3
126; 27; 52; 10
127; 27; 69; 0
128; 28; 29; 5
129; 29; 30; 0
130; 29; 4; 6
131; 29; 12; 6
132; 29; 20; 10
133; 29; 24; 10
134; 29; 34; 30
135; 29; 38; 15
136; 29; 42; 15
137; 29; 46; 30
138; 29; 50; 30
139; 29; 62; 30
140; 29; 66; 30
141; 29; 79; 0
142; 30; 31; 7
143; 31; 32; 30
144; 31; 48; 30
145; 31; 83; 0
146; 32; 33; 7
147; 33; 34; 0
148; 33; 4; 6
149; 33; 12; 6
150; 33; 20; 10
151; 33; 24; 10
152; 33; 30; 30
153; 33; 38; 15
154; 33; 42; 15
155; 33; 46; 30
156; 33; 50; 30
157; 33; 62; 30
158; 33; 66; 30
159; 33; 79; 0
160; 34; 35; 5
161; 35; 28; 30
162; 35; 40; 15
163; 35; 64; 30
164; 35; 81; 0
165; 36; 37; 2
166; 36; 2; 0
167; 36; 22; 0
168; 37; 38; 0
169; 37; 4; 3
170; 37; 12; 3
171; 37; 20; 5
172; 37; 24; 5
173; 37; 30; 15
174; 37; 34; 15
175; 37; 42; 7
176; 37; 46; 15
177; 37; 50; 15
178; 37; 62; 15
179; 37; 66; 15
180; 37; 79; 0
181; 38; 39; 5
182; 38; 34; 0
183; 39; 28; 15
184; 39; 40; 7
185; 39; 64; 15
186; 39; 81; 0
187; 40; 41; 5
188; 40; 28; 0
189; 41; 42; 0
190; 41; 4; 3
191; 41; 12; 3
192; 41; 20; 5
193; 41; 24; 5
194; 41; 30; 15
195; 41; 34; 15
196; 41; 38; 7
197; 41; 46; 15
198; 41; 50; 15
199; 41; 62; 15
200; 41; 66; 15
201; 41; 79; 0
202; 42; 43; 2
203; 42; 12; 0
204; 42; 20; 0
205; 43; 2; 3
206; 43; 14; 3
207; 43; 22; 5
208; 43; 36; 7
209; 43; 44; 15
210; 43; 77; 0
211; 44; 45; 2
212; 44; 2; 0
213; 44; 22; 0
214; 44; 36; 0
215; 45; 46; 0
216; 45; 4; 6
217; 45; 12; 6
218; 45; 20; 10
219; 45; 24; 10
220; 45; 30; 30
221; 45; 34; 30
222; 45; 38; 15
223; 45; 42; 15
224; 45; 50; 30
225; 45; 62; 30
226; 45; 66; 30
227; 45; 79; 0
228; 46; 47; 7
229; 46; 30; 0
230; 47; 32; 30
231; 47; 48; 30
232; 47; 83; 0
233; 48; 49; 7
234; 48; 32; 0
235; 49; 50; 0
236; 49; 4; 6
237; 49; 12; 6
238; 49; 20; 10
239; 49; 24; 10
240; 49; 30; 30
241; 49; 34; 30
242; 49; 38; 15
243; 49; 42; 15
244; 49; 46; 30
245; 49; 62; 30
246; 49; 66; 30
247; 49; 79; 0
248; 50; 51; 2
249; 50; 12; 0
250; 50; 20; 0
251; 50; 42; 0
252; 51; 2; 6
253; 51; 14; 6
254; 51; 22; 10
255; 51; 36; 15
256; 51; 44; 30
257; 51; 77; 0
258; 52; 53; 6
259; 52; 16; 0
260; 53; 54; 0
261; 53; 6; 6
262; 53; 10; 6
263; 53; 18; 10
264; 53; 26; 10
265; 53; 58; 30
266; 53; 60; 30
267; 53; 73; 0
268; 54; 55; 4.5
269; 55; 0; 6
270; 55; 56; 30
271; 55; 75; 0
272; 56; 57; 4.5
273; 57; 58; 0
274; 57; 6; 6
275; 57; 10; 6
276; 57; 18; 10
277; 57; 26; 10
278; 57; 54; 30
279; 57; 60; 30
280; 57; 73; 0
281; 58; 59; 6
282; 58; 26; 0
283; 59; 16; 10
284; 59; 52; 30
285; 59; 69; 0
286; 60; 61; 2
287; 60; 10; 0
288; 60; 18; 0
289; 61; 62; 0
290; 61; 4; 6
291; 61; 12; 6
292; 61; 20; 10
293; 61; 24; 10
294; 61; 30; 30
295; 61; 34; 30
296; 61; 38; 15
297; 61; 42; 15
298; 61; 46; 30
299; 61; 50; 30
300; 61; 66; 30
301; 61; 79; 0
302; 62; 63; 5
303; 62; 34; 0
304; 62; 38; 0
305; 63; 28; 30
306; 63; 40; 15
307; 63; 64; 30
308; 63; 81; 0
309; 64; 65; 5
310; 64; 28; 0
311; 64; 40; 0
312; 65; 66; 0
313; 65; 4; 6
314; 65; 12; 6
315; 65; 20; 10
316; 65; 24; 10
317; 65; 30; 30
318; 65; 34; 30
319; 65; 38; 15
320; 65; 42; 15
321; 65; 46; 30
322; 65; 50; 30
323; 65; 62; 30
324; 65; 79; 0
325; 66; 67; 2
326; 66; 4; 0
327; 66; 24; 0
328; 67; 6; 6
329; 67; 10; 6
330; 67; 18; 10
331; 67; 26; 10
332; 67; 54; 30
333; 67; 58; 30
334; 67; 60; 30
335; 67; 73; 0
336; 68; 16; 0
337; 68; 52; 0
338; 70; 8; 0
339; 72; 6; 0
340; 72; 10; 0
341; 72; 18; 0
342; 72; 26; 0
343; 72; 54; 0
344; 72; 58; 0
345; 72; 60; 0
346; 74; 0; 0
347; 74; 56; 0
348; 76; 2; 0
349; 76; 14; 0
350; 76; 22; 0
351; 76; 36; 0
352; 76; 44; 0
353; 78; 4; 0
354; 78; 12; 0
355; 78; 20; 0
356; 78; 24; 0
357; 78; 30; 0
358; 78; 34; 0
359; 78; 38; 0
360; 78; 42; 0
361; 78; 46; 0
362; 78; 50; 0
363; 78; 62; 0
364; 78; 66; 0
365; 80; 28; 0
366; 80; 40; 0
367; 80; 64; 0
368; 82; 32; 0
369; 82; 48; 0
